epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
8,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,76.19047546386719,,13.25,,,,,,0.5383149981498718,0.2654806077480316,0.803795576095581,50.51978302001953,53.31635284423828,0.4114105999469757,0.5393275618553162,0.5383149981498718,0.2525987923145294,0.2665815055370331,0.2654806077480316
,0.01,0.01,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4583828449249268,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,73.3974380493164,,13.75,,,,,,0.5390515327453613,0.1465267837047577,0.6855784058570862,25.57769012451172,29.6513671875,0.41225993633270264,0.5401253700256348,0.5390515327453613,0.12788870930671692,0.14825694262981415,0.1465267837047577
,0.01,0.01,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,149,,,,,,,,,,,,,,,,,,,,,,41.66666793823242,,24.0,,0.5292148590087891,0.11709469556808472,0.6463095545768738,0.5292148590087891,0.11709469556808472,,,,,,,,,,,
,,,,,2.4592084884643555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,74.5879135131836,,13.5,,,,,,0.5264567136764526,0.10858166962862015,0.6350383758544922,19.497034072875977,22.013235092163086,0.40200385451316833,0.527428925037384,0.5264567136764526,0.09748586267232895,0.11006668955087662,0.10858166962862015
,0.01,0.01,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4606454372406006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,79.27488708496094,,12.75,,,,,,0.5270131230354309,0.15936873853206635,0.6863818764686584,28.746021270751953,32.1193733215332,0.40139222145080566,0.528043806552887,0.5270131230354309,0.1437293142080307,0.16059644520282745,0.15936873853206635
,0.01,0.01,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.460371255874634,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,77.38095092773438,,13.0,,,,,,0.5121482610702515,0.07180885225534439,0.5839571356773376,12.145796775817871,14.772730827331543,0.3909720480442047,0.5132137537002563,0.5121482610702515,0.06072998046875,0.07386458665132523,0.07180885225534439
,0.01,0.01,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.4616966247558594,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
