epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise
7,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,53.030303955078125,,19.5,,,,,,0.6261335611343384,0.170338436961174,0.7964720129966736,29.53255271911621,34.24571228027344,0.47607964277267456,0.6264680624008179,0.6261335611343384,0.14766213297843933,0.17122817039489746,0.170338436961174
,0.01,0.01,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,249,,,,,,,,,,,,,,,,,,,,,,31.25,,32.0,,0.5846483111381531,0.09301396459341049,0.6776622533798218,0.5846483111381531,0.09301396459341049,,,,,,,,,,,
,,,,,2.421532392501831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,49.769432067871094,,20.75,,,,,,0.6052990555763245,0.23367345333099365,0.8389724493026733,43.812862396240234,46.847312927246094,0.457926481962204,0.6058205366134644,0.6052990555763245,0.21906422078609467,0.23423685133457184,0.23367345333099365
,0.01,0.01,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.419938564300537,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,54.999168395996094,,19.0,,,,,,0.584422767162323,0.17712801694869995,0.761550784111023,31.498083114624023,35.520545959472656,0.443572461605072,0.5849106907844543,0.584422767162323,0.15748991072177887,0.17760229110717773,0.17712801694869995
,0.01,0.01,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,299,,,,,,,,,,,,,,,,,,,,,,30.303030014038086,,33.0,,0.5404606461524963,0.07012810558080673,0.6105887293815613,0.5404606461524963,0.07012810558080673,,,,,,,,,,,
,,,,,2.4210915565490723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,54.4039306640625,,19.25,,,,,,0.5638898611068726,0.11026255041360855,0.6741524338722229,18.819190979003906,22.176713943481445,0.4303131401538849,0.5645106434822083,0.5638898611068726,0.09409727901220322,0.11088532209396362,0.11026255041360855
,0.01,0.01,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.422297239303589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
